Accession	20180307_11_Tissue_untreated_1	20180307_12_Tissue_untreated_2	20180307_13_Control_untreated_1	20180307_14_Tissue_untreated_3	20180307_15_Control_treated_1	20180307_16_Tissue_untreated_4	20180307_17_Control_untreated_2	20180307_18_Tissue_untreated_5	20180307_19_Control_treated_2	20180307_20_Tissue_untreated_6	20180307_21_Control_untreated_3	20180307_22_Tissue_untreated_7	20180307_23_Tissue_untreated_8	20180307_24_Tissue_untreated_9	20180307_25_Control_untreated_4	20180307_26_Control_treated_3	20180307_27_Control_treated_4
Protein_76	38030.95795	38426.36058	37633.89789	35667.24992	36849.11615	46197.53592	39955.82313	31970.04349	38531.41617	37633.63786	35795.15582	32443.35255	33218.61567	35451.7715	39350.95141	30422.83359	39612.6035
Protein_77	118301.5081	121837.6858	97731.43934	89274.10094	95082.65578	100665.9766	117033.2504	83155.58327	97699.64174	119171.4707	120345.1442	108304.7087	115798.2382	107700.9996	95699.67677	85845.41822	98713.24502
Protein_78	319397.5692	304295.0307	102621.59	267805.1061	85532.78119	278125.7693	103986.4827	207339.284	92092.22492	214374.6998	88633.8436	249534.4742	217152.0263	187069.9172	95875.20695	96958.4962	101989.9414
Protein_79	285284.0157	323285.5352	321487.0041	245269.2409	322358.2811	265034.5646	343151.4474	246374.9633	308389.9714	248191.3062	322883.608	275329.5592	242423.1117	249750.9934	304660.7877	292676.3849	357712.1308
Protein_80	176100.4633	160038.8929	153058.7737	152499.9422	130996.8957	129357.8421	150293.9416	111202.5559	145075.9938	107482.4487	139932.3529	144433.3797	121805.2913	106308.0549	131687.3509	129536.3407	128111.5038
Protein_81	49562.99156	66998.56361	63684.15827	55435.64701	61705.43298	63208.31789	56737.64126	67224.44951	58812.87553	65762.64777	63235.46111	69809.72812	78313.88221	85733.49833	67514.35471	63710.33584	73351.27423
Protein_82	206775.847	219008.6872	180952.1097	176434.605	176933.7548	172865.1801	193505.848	138401.1967	189391.467	141010.09	183497.0819	164182.2401	149266.1781	139000.3829	146190.2078	157247.9538	186230.9859
Protein_83	31176.53832	23349.43376	21258.81805	32071.46507	21178.69281	28438.91148	18707.08938	36578.31166	19308.54995	36612.56844	29841.946	33715.151	36899.66283	34253.72547	21125.7612	24597.78911	24519.8438
Protein_84	65769.38772	61353.45062	115924.6959	75549.18013	63383.09383	62876.05415	88689.83291	93648.2432	61447.56093	101147.4997	72463.26556	83543.48525	78573.20213	73108.03133	99007.66376	72009.5063	85545.2497
Protein_85	42815.8397	49073.53135	44139.59179	51406.7902	38664.00764	58288.81628	44129.74202	47962.08397	34388.99726	57658.01318	38229.52711	56705.43263	53449.8042	53980.12323	44184.35366	37980.97374	48394.13174
Protein_86	55072.9589	40895.8168	10656.54188	32880.13576	7941.18912	25210.36537	10035.01843	32447.67967	11253.10356	20923.01003	10788.10315	28485.84351	41414.07993	35156.94472	12326.61631	9971.414979	10333.70113
Protein_87	31545.24919	32970.19374	96373.08459	30037.44006	75472.419	33272.74855	85027.80846	36398.669	81695.56505	30911.60403	89106.30084	32219.04294	41646.0678	40909.05306	96817.67468	76809.98318	104932.9278
Protein_88	107267.6841	163873.195	197236.9222	125655.8094	164883.5671	183402.3744	171987.6505	194126.5387	153035.4623	196087.8305	181505.8303	159603.8381	138934.2089	199233.109	206571.9092	184553.7583	229572.88
Protein_89	47729.94572	48172.08672	27693.66704	38007.5194	28791.11522	32313.78347	35450.70059	40422.09311	34381.83468	44637.66456	34217.28763	30072.27467	35510.75783	43912.12243	40790.13375	30822.87489	40543.94278
Protein_90	33819.66885	36589.86271	20251.6868	40661.56489	16882.07304	47161.17269	21731.23041	22765.55373	23986.93465	19184.48889	14704.22382	26069.28852	59127.44476	33252.79301	20379.60558	17488.29795	42588.87258
Protein_91	65873.08419	51520.14391	53599.218	62595.25048	42363.201	58913.80175	52275.86443	60369.57907	42917.19768	70579.32678	34075.13194	69148.06364	68279.68117	70803.77091	52758.48894	80346.83771	64200.15891
Protein_92	395229.7704	342314.0815	636407.2947	359392.7935	873456.746	394172.7333	559209.1813	423987.9911	549251.0528	476664.9682	757777.4926	454967.5679	448779.6797	402197.0704	644397.5074	250821.8208	660873.0823
Protein_93	95282.89558	55315.62142	85004.0997	89040.73176	78847.38324	84901.35912	93270.8259	72289.8191	68641.99463	74133.21168	95246.64975	81147.85342	73015.14404	93117.00562	87518.21981	70582.66502	89705.85632
Protein_94	14121.69823	10697.13343	18333.212	15525.46346	16136.22793	14217.39999	16366.47936	15155.85117	15183.94124	20447.73096	16407.81776	16582.20725	15719.85122	7388.140459	15820.192	12838.89646	13171.99809
Protein_95	183768.285	178389.0137	158442.4697	175523.7864	148724.1192	142806.331	159367.1755	207157.9457	152317.234	193582.6912	178273.0742	182226.5872	231232.1042	198768.732	194882.2244	181326.0926	156842.4601
Protein_96	79361.30274	81893.19584	69272.14919	76860.93837	62297.19227	64672.05963	79440.87894	73096.98911	60278.11544	75336.86765	78679.33898	84833.42379	72812.39668	90484.3034	93235.10947	66354.10587	76975.31406
Protein_97	478669.0581	519301.4828	1164264.799	710203.4697	1005623.38	946461.946	980572.2221	966234.1334	1005950.235	1021025.146	979687.3379	784192.1359	814337.5855	958108.987	1136114.905	822876.6156	1194045.761
Protein_98	9667.14913	10433.04543	61414.91786	20309.94235	34106.12492	14614.13687	54475.31038	11678.20095	34139.70329	12830.50942	27436.88241	46074.55102	29992.63845	18149.05581	58162.06714	53490.12305	57627.42198
Protein_99	69184.35678	68541.82942	86999.54954	59904.41006	79397.91375	57551.12848	73443.14279	58400.14349	75997.3572	55388.89248	88649.89409	54173.289	57240.89778	63254.20419	81378.22278	61998.73912	85368.95231
